2023-11-22 19:15:08.066 | INFO     | game.Camera:__init__:13 - Camera initialized.
2023-11-22 19:15:08.067 | INFO     | App:__init__:34 - App initialized.
2023-11-22 19:15:08.067 | INFO     | App:run:54 - Running app...
2023-11-22 19:15:16.461 | SUCCESS  | __main__:<module>:10 - Game finished!
2023-11-22 19:15:36.441 | INFO     | __main__:<module>:8 - Running game...
2023-11-22 19:15:37.026 | INFO     | engine.Config:load:8 - Loading config from cfg/config.json...
2023-11-22 19:15:37.167 | INFO     | App:__init__:16 - Fullscreen: 1366x768
2023-11-22 19:15:37.210 | INFO     | App:__init__:27 - Created screen surface.
2023-11-22 19:15:37.211 | INFO     | engine.Config:load:8 - Loading config from cfg/world.json...
2023-11-22 19:15:37.213 | INFO     | game.world.World:load_assets:66 - Loading assets...
2023-11-22 19:15:37.215 | INFO     | game.world.World:load_assets:73 - Loaded 1 textures in 0.0010056495666503906s
2023-11-22 19:15:37.215 | INFO     | game.world.World:__init__:17 - Generating world...
2023-11-22 19:15:37.215 | INFO     | engine.Generator:__init__:13 - Generator initialized. Seed=1863209952.
2023-11-22 19:15:37.216 | INFO     | game.world.World:generate:27 - Generating 25 chunks...
2023-11-22 19:15:38.349 | INFO     | game.world.World:generate:34 - World generation took 1.1328117847442627s
2023-11-22 19:15:38.349 | INFO     | game.world.World:__init__:20 - World generated.
2023-11-22 19:15:38.349 | INFO     | game.world.World:__init__:22 - World initialized.
2023-11-22 19:15:38.349 | INFO     | game.Camera:__init__:13 - Camera initialized.
2023-11-22 19:15:38.350 | INFO     | App:__init__:34 - App initialized.
2023-11-22 19:15:38.350 | INFO     | App:run:54 - Running app...
2023-11-22 19:15:44.091 | SUCCESS  | __main__:<module>:10 - Game finished!
2023-11-22 19:15:49.216 | INFO     | __main__:<module>:8 - Running game...
2023-11-22 19:15:49.338 | INFO     | engine.Config:load:8 - Loading config from cfg/config.json...
2023-11-22 19:15:49.483 | INFO     | App:__init__:16 - Fullscreen: 1366x768
2023-11-22 19:15:49.532 | INFO     | App:__init__:27 - Created screen surface.
2023-11-22 19:15:49.533 | INFO     | engine.Config:load:8 - Loading config from cfg/world.json...
2023-11-22 19:15:49.534 | INFO     | game.world.World:load_assets:66 - Loading assets...
2023-11-22 19:15:49.534 | INFO     | game.world.World:load_assets:73 - Loaded 1 textures in 0.0s
2023-11-22 19:15:49.536 | INFO     | game.world.World:__init__:17 - Generating world...
2023-11-22 19:15:49.536 | INFO     | engine.Generator:__init__:13 - Generator initialized. Seed=2334822517.
2023-11-22 19:15:49.536 | INFO     | game.world.World:generate:27 - Generating 25 chunks...
2023-11-22 19:15:50.724 | INFO     | game.world.World:generate:34 - World generation took 1.186969518661499s
2023-11-22 19:15:50.724 | INFO     | game.world.World:__init__:20 - World generated.
2023-11-22 19:15:50.724 | INFO     | game.world.World:__init__:22 - World initialized.
2023-11-22 19:15:50.724 | INFO     | game.Camera:__init__:13 - Camera initialized.
2023-11-22 19:15:50.725 | INFO     | App:__init__:34 - App initialized.
2023-11-22 19:15:50.725 | INFO     | App:run:54 - Running app...
2023-11-22 19:16:20.575 | SUCCESS  | __main__:<module>:10 - Game finished!
2023-11-22 19:16:24.166 | INFO     | __main__:<module>:8 - Running game...
2023-11-22 19:16:24.299 | INFO     | engine.Config:load:8 - Loading config from cfg/config.json...
2023-11-22 19:16:24.446 | INFO     | App:__init__:16 - Fullscreen: 1366x768
2023-11-22 19:16:24.492 | INFO     | App:__init__:27 - Created screen surface.
2023-11-22 19:16:24.493 | INFO     | engine.Config:load:8 - Loading config from cfg/world.json...
2023-11-22 19:16:24.494 | INFO     | game.world.World:load_assets:66 - Loading assets...
2023-11-22 19:16:24.496 | INFO     | game.world.World:load_assets:73 - Loaded 1 textures in 0.0015137195587158203s
2023-11-22 19:16:24.496 | INFO     | game.world.World:__init__:17 - Generating world...
2023-11-22 19:16:24.496 | INFO     | engine.Generator:__init__:13 - Generator initialized. Seed=397003273.
2023-11-22 19:16:24.497 | INFO     | game.world.World:generate:27 - Generating 25 chunks...
2023-11-22 19:16:25.497 | INFO     | game.world.World:generate:34 - World generation took 1.000314474105835s
2023-11-22 19:16:25.497 | INFO     | game.world.World:__init__:20 - World generated.
2023-11-22 19:16:25.497 | INFO     | game.world.World:__init__:22 - World initialized.
2023-11-22 19:16:25.497 | INFO     | game.Camera:__init__:13 - Camera initialized.
2023-11-22 19:16:25.498 | INFO     | App:__init__:34 - App initialized.
2023-11-22 19:16:25.498 | INFO     | App:run:54 - Running app...
2023-11-22 19:16:29.986 | SUCCESS  | __main__:<module>:10 - Game finished!
2023-11-22 19:16:39.812 | INFO     | __main__:<module>:8 - Running game...
2023-11-22 19:16:39.938 | INFO     | engine.Config:load:8 - Loading config from cfg/config.json...
2023-11-22 19:16:40.106 | INFO     | App:__init__:16 - Fullscreen: 1366x768
2023-11-22 19:16:40.154 | INFO     | App:__init__:27 - Created screen surface.
2023-11-22 19:16:40.155 | INFO     | engine.Config:load:8 - Loading config from cfg/world.json...
2023-11-22 19:16:40.155 | INFO     | game.world.World:load_assets:66 - Loading assets...
